Text,Sentiment
"Facebook stock price slides after company reports weaker-than-expected earnings.","negative"
"Exxon Mobil stock price falls after company reports lower oil and gas production.","negative"
"Netflix stock price surges on news of new content deals.","positive"
"Walmart stock price rises on news of new store openings.","positive"
"Nike stock price jumps after company announces new product launches.","positive"
"McDonald's stock price climbs after company reports strong same-store sales.","positive"
"Tesla stock price soars on news of new government subsidies.","positive"
"Apple stock price rises after company announces new product releases.","positive"
"Amazon stock price jumps on news of strong e-commerce growth.","positive"
"Facebook stock price climbs after company announces new advertising features.","positive"
"Exxon Mobil stock price rises after company reports higher oil prices.","positive"
"Netflix stock price falls after company loses subscribers.","negative"
"Walmart stock price dips after company reports weak same-store sales.","negative"
"Nike stock price falls after company announces recalls of its products.","negative"
"McDonald's stock price slides after company is accused of labor violations.","negative"
"Tesla stock price falls after company is fined for safety violations.","negative"
"Apple stock price drops after company is sued for patent infringement.","negative"
"Amazon stock price falls after company is criticized for its working conditions.","negative"
"Facebook stock price slides after company is accused of privacy violations.","negative"
"Exxon Mobil stock price falls after company is accused of environmental damage.","negative"
